"","country","2019-01-10","2020-01-07"
"1","Argentina",0,0
"2","Australia",3,3
"3","Austria",3,3
"4","Belgium",0,0
"5","Brazil",3,4
"6","Canada",5,6
"7","China",15,22
"8","Czech Republic",0,0
"9","Denmark",0,0
"10","Egypt",0,0
"11","Estonia",0,0
"12","Finland",1,1
"13","France",3,2
"14","Germany",5,4
"15","Hong Kong",1,2
"16","Hungary",1,1
"17","Iceland",0,0
"18","India",5,11
"19","Indonesia",0,0
"20","Ireland",1,1
"21","Israel",2,2
"22","Italy",1,1
"23","Japan",10,12
"24","Kenya",0,0
"25","Lithuania",2,1
"26","Luxembourg",0,0
"27","Malaysia",1,1
"28","Malta",0,0
"29","Mexico",0,0
"30","Morocco",1,1
"31","New Zealand",0,0
"32","Nigeria",0,0
"33","Norway",1,1
"34","Pakistan",0,0
"35","Poland",1,1
"36","Portugal",0,1
"37","Qatar",0,0
"38","Russia",22,25
"39","Saudi Arabia",0,0
"40","Singapore",3,1
"41","South Africa",0,0
"42","South Korea",2,3
"43","Spain",4,4
"44","Sri Lanka",0,0
"45","Sweden",0,0
"46","Switzerland",3,2
"47","Taiwan",0,1
"48","The Netherlands",5,5
"49","Tunisia",0,0
"50","Turkey",1,3
"51","United Arab Emirates",0,0
"52","United Kingdom",8,10
"53","United States of America",43,52
"54","Uruguay",0,0
